Market_place,URL,Product_name,SKU,Price,Currency,Subject,Author,Date,Review,Stars,like,dislike
lowes.com,https://www.lowes.com/pd/Project-Source-Project-Source-Pro-Flush-2-Piece-Single-Flush-Elongated-Chair-Height-White-1-28-GPF/1003066162,Project Source  Pro-Flush White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #MT-802PRO,119.0,USD,Great toilets for the price.,bekmk,"June 6, 2021",This comes as a kit with everything included except the high pressure hose. The height is perfect and not low to the floor like the old ones.,5,6.0,1.0
lowes.com,https://www.lowes.com/pd/Project-Source-Project-Source-Pro-Flush-2-Piece-Single-Flush-Elongated-Chair-Height-White-1-28-GPF/1003066162,Project Source  Pro-Flush White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #MT-802PRO,119.0,USD,Great value,Mindy B,"January 25, 2022","Great toilet for the price! It checks all of our boxes - chair height, elongated, water efficient. So far, the flushing capabilities have been fully sufficient :) We were even able to cover the cost with a rebate from our water service for upgrading to more efficient water use.",5,5.0,1.0
lowes.com,https://www.lowes.com/pd/Project-Source-Project-Source-Pro-Flush-2-Piece-Single-Flush-Elongated-Chair-Height-White-1-28-GPF/1003066162,Project Source  Pro-Flush White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #MT-802PRO,119.0,USD,Fantastic Buy,jojimbe,"October 28, 2022","My son had one of these toilets and I liked it so much I ordered one for our home. Our original one was short and round, used a lot of water to flush and still didn't do that great. This Project source toilet is a little taller, and flushes like a power flusher using very little water to do so. Itt seems to me it only uses approx. a half a gallon. The elongated shape seems to be more comfortable to set on. It was super easy to install and it only took about 10 minutes. It has everything you need to install except for tools. Very pleased with my purchase. You can't beat the price either.",5,0.0,0.0
lowes.com,https://www.lowes.com/pd/Project-Source-Project-Source-Pro-Flush-2-Piece-Single-Flush-Elongated-Chair-Height-White-1-28-GPF/1003066162,Project Source  Pro-Flush White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #MT-802PRO,119.0,USD,Great!!,Jmsmall,"December 15, 2020",This purchase is a great value and works well. It is high enough that my mom can get up.and down easily.,5,12.0,5.0
lowes.com,https://www.lowes.com/pd/Project-Source-Project-Source-Pro-Flush-2-Piece-Single-Flush-Elongated-Chair-Height-White-1-28-GPF/1003066162,Project Source  Pro-Flush White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #MT-802PRO,119.0,USD,Good product,liza_bam,"March 16, 2022","Looks good, actually, does not have that cheap bathroom vibe. The seat is decent too. No problems with installation. For the price i definitely recommend",5,7.0,2.0
lowes.com,https://www.lowes.com/pd/Project-Source-Project-Source-Pro-Flush-2-Piece-Single-Flush-Elongated-Chair-Height-White-1-28-GPF/1003066162,Project Source  Pro-Flush White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #MT-802PRO,119.0,USD,Great for the money!,GuyP,"December 24, 2021","Have replaced three old style short toilets with $250 American Standard toilets. They work great and are very easy to keep clean. Have an upstairs guest toilet that also needed replacement. Saw this toilet for $99 and thought would give it a try. Much to my surprise it looks good and performs well. I’m not sure it will be as easy to keep clean since the finish doesn’t seem as nice, but for $99 it seems just fine!",5,3.0,1.0
lowes.com,https://www.lowes.com/pd/Project-Source-Project-Source-Pro-Flush-2-Piece-Single-Flush-Elongated-Chair-Height-White-1-28-GPF/1003066162,Project Source  Pro-Flush White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #MT-802PRO,119.0,USD,Everything that could go wrong,Will Shopelsewhere,"June 2, 2022","Ordered two toilets, both arrived broken. Tracking said they arrived together. In reality one arrived the day following the first delivery. I don't know if the breakage was because the product is cheaply made or just poor delivery service. The burden of the return was left to me. No genuine acknowledgement of the inconvenience. Decided to do business elsewhere.",1,2.0,0.0
lowes.com,https://www.lowes.com/pd/Project-Source-Project-Source-Pro-Flush-2-Piece-Single-Flush-Elongated-Chair-Height-White-1-28-GPF/1003066162,Project Source  Pro-Flush White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #MT-802PRO,119.0,USD,Fantastic buy,Texokie,"July 31, 2022","Easy to install, well made, looks great in the bathroom; love it! Only thing I don't like is tgat the lid is not a slow close",5,3.0,0.0
lowes.com,https://www.lowes.com/pd/Project-Source-Project-Source-Pro-Flush-2-Piece-Single-Flush-Elongated-Chair-Height-White-1-28-GPF/1003066162,Project Source  Pro-Flush White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #MT-802PRO,119.0,USD,Required Parts missing,Sharath,"July 26, 2022",Required Parts missing. Asked Lowe’s about it and they gave parts that don’t fit it. Over all worst experience.,1,3.0,0.0
lowes.com,https://www.lowes.com/pd/Project-Source-Project-Source-Pro-Flush-2-Piece-Single-Flush-Elongated-Chair-Height-White-1-28-GPF/1003066162,Project Source  Pro-Flush White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #MT-802PRO,119.0,USD,Nice Toilet,MMurphy,"June 24, 2022",Excellent toilet for the guest bath. Great color and flushes large and disgusting waste products effortlessly,5,3.0,0.0
