Market_place,URL,Product_name,SKU,Price,Currency,Subject,Author,Date,Review,Stars
homedepot.com,https://www.homedepot.com/p/American-Standard-Reliant-2-piece-1-28-GPF-Single-Flush-Elongated-Toilet-in-White-Seat-Included-773CA101-020/319247071,Reliant 2-piece 1.28 GPF Single Flush Elongated Toilet in White Seat Included,1007099439,139.0,USD,Great option,kpb83,"Oct 21, 2022","Had our plumber install this as part of an entire bath renovation, he was done very quickly and it looks and works great. Soft-close lid is a bonus!",5
homedepot.com,https://www.homedepot.com/p/American-Standard-Reliant-2-piece-1-28-GPF-Single-Flush-Elongated-Toilet-in-White-Seat-Included-773CA101-020/319247071,Reliant 2-piece 1.28 GPF Single Flush Elongated Toilet in White Seat Included,1007099439,139.0,USD,Great Toilet !!!,Gary1958,"Sep 3, 2022",[This review was collected as part of a promotion.] I just installed this American Standard Reliant toilet. Everything I needed was included except for your water supply hose which I replaced along with a new water shutoff valve . Once I got the old toilet out it was fairly simple to install. Read your directions before you do anything and check that you have all the necessary tools and parts to complete the installation. I was finished installing in about 90 minutes. Make sure you check for leaks. My new toilet works great and is very quiet when filling up. Very modern looking and has a slow closing lid which works very smoothly. I highly recommend this American Standard toilet. I only use American Standard toilets because they are very dependable and never disappoint me !!!,5
homedepot.com,https://www.homedepot.com/p/American-Standard-Reliant-2-piece-1-28-GPF-Single-Flush-Elongated-Toilet-in-White-Seat-Included-773CA101-020/319247071,Reliant 2-piece 1.28 GPF Single Flush Elongated Toilet in White Seat Included,1007099439,139.0,USD,Simple and easy install,Bill 481,"Sep 2, 2022","[This review was collected as part of a promotion.] Was easy to install. Everthing in tank was already put together. After old toilet was out only took about 30 minutes to install new one. Seems to have good flushing power with little water consumption. Everthing was included seat and wax ring, however i wish it would have given a newer style wax ring that was rubber and if put toilet down wrong you could reposition. Overall good product and very happy.",5
homedepot.com,https://www.homedepot.com/p/American-Standard-Reliant-2-piece-1-28-GPF-Single-Flush-Elongated-Toilet-in-White-Seat-Included-773CA101-020/319247071,Reliant 2-piece 1.28 GPF Single Flush Elongated Toilet in White Seat Included,1007099439,139.0,USD,Quality Toilet with good water power,mrscarr,"Aug 22, 2022","[This review was collected as part of a promotion.] My hubby was the installer on this project. He found it easy to install that took about an hour. He liked the mechanism on the inside of the toilet. The blue water in the initial tank fill aided just in case there was a leak, which there wasn't. Instructions were clear and concise. The elongated shape gives the extra comfort everyone expects. Thankful a quality toilet seat was included. The flush has excellent water pressure to clear the bowl. The only reason for a four star is the color of the tank appears to be a darker color than the tank lid and toilet base. My other family members did need see the color difference, but judge for yourself in the pictures. Otherwise, a quality and perfectly functioning toilet.",4
homedepot.com,https://www.homedepot.com/p/American-Standard-Reliant-2-piece-1-28-GPF-Single-Flush-Elongated-Toilet-in-White-Seat-Included-773CA101-020/319247071,Reliant 2-piece 1.28 GPF Single Flush Elongated Toilet in White Seat Included,1007099439,139.0,USD,Easy To Install,Old DIYer,"Aug 15, 2022","[This review was collected as part of a promotion.] This toilet replaced an older existing toilet in a smaller upstairs bathroom. It took about an hour including some necessary floor prep. It comes in three pieces - the base, the tank, and the seat. It's very easy to assemble. Two nuts and bolts and wax ring (included) to mount base to floor. Two nuts and bolts and rubber seal (included) to mount tank to base. Two nuts and bolts (also included) to mount seat to base. After connecting the water supply hose and turning the water on, I noticed it was quieter and a quicker refill than the previous toilet. Note: I needed a 12"" supply hose (which I had) instead of the old 9"" one. Be careful trimming the base mounting bolts - I recommend a small to medium pair of bolt cutters. I didn't need to adjust the water level, but the instructions explain how to do it. I'm very pleased with the new toilet.",5
homedepot.com,https://www.homedepot.com/p/American-Standard-Reliant-2-piece-1-28-GPF-Single-Flush-Elongated-Toilet-in-White-Seat-Included-773CA101-020/319247071,Reliant 2-piece 1.28 GPF Single Flush Elongated Toilet in White Seat Included,1007099439,139.0,USD,Nice American Standard toilet,Local plumber,"Aug 12, 2022","[This review was collected as part of a promotion.] Nice looking toilet with good bowl design, would install another anytime! Came with everything I needed to instal except the supply line which made install a breeze. Came with a nice slow close seat as well. Flushes great even with a standard 2” flush valve.",5
homedepot.com,https://www.homedepot.com/p/American-Standard-Reliant-2-piece-1-28-GPF-Single-Flush-Elongated-Toilet-in-White-Seat-Included-773CA101-020/319247071,Reliant 2-piece 1.28 GPF Single Flush Elongated Toilet in White Seat Included,1007099439,139.0,USD,Replaced 18 year old toilet with a new one,DAC42,"Aug 11, 2022","[This review was collected as part of a promotion.] I replaced a bathroom toilet the old one was 18 yrs old and was becoming difficult to keep clean. The installation went very smoothly all I needed was provided with the toilet including a new wax seal. The instruction were clear and easy to follow. Accessing and tightening the nuts connecting the tank to the toilet was a bit tricky but not too bad. Overall a very easy installation. The new toilet is now easier to clean, quieter and uses less water for what appears to be a better flush. So I am very happy with the final installation. The most difficult part was removing the old toilet as the previous installation used a lot of caulk around the toilet and I had to force a chisel under the old toilet. Once this was removed everything associated with the new installation went smoothly.",4
homedepot.com,https://www.homedepot.com/p/American-Standard-Reliant-2-piece-1-28-GPF-Single-Flush-Elongated-Toilet-in-White-Seat-Included-773CA101-020/319247071,Reliant 2-piece 1.28 GPF Single Flush Elongated Toilet in White Seat Included,1007099439,139.0,USD,Quality toilette ideal for home with kids,jbellosob,"Aug 11, 2022","[This review was collected as part of a promotion.] Because I have 4 grandkids that coming home frequently, I found this toilette ideal because its 15 inches height. Also comes with slow close seat avoiding the noise. Super shining white and well designed.",5
homedepot.com,https://www.homedepot.com/p/American-Standard-Reliant-2-piece-1-28-GPF-Single-Flush-Elongated-Toilet-in-White-Seat-Included-773CA101-020/319247071,Reliant 2-piece 1.28 GPF Single Flush Elongated Toilet in White Seat Included,1007099439,139.0,USD,Nice quality toilet,kwarren929,"Aug 9, 2022",[This review was collected as part of a promotion.] We installed this toilet in the guest bathroom. it was easy to install and the fit was perfect. Cleaning is easy except around the bottom where dirt collect in the design. We like that it is smaller fit for the confined space. Overall we are happy with this product.,4
homedepot.com,https://www.homedepot.com/p/American-Standard-Reliant-2-piece-1-28-GPF-Single-Flush-Elongated-Toilet-in-White-Seat-Included-773CA101-020/319247071,Reliant 2-piece 1.28 GPF Single Flush Elongated Toilet in White Seat Included,1007099439,139.0,USD,The Reliant Toilet,Vanderbelt,"Jul 29, 2022",[This review was collected as part of a promotion.] The Reliant Toilet I found to be an overall good toilet. It has a strong flush . It’s appealing to look at . It was easy to assemble by myself and came packed neatly and safe with no damage. It works perfectly and I would recommend to anyone.,5
